# of genes	# of total genes	Log of odds ratio	P-value	Adjusted p-value	GO term ID	Go term name
14	14	2.48442	0.00000	<0.00050	GO:0001518	voltage-gated sodium channel complex
8	8	2.25082	0.00000	<0.00050	GO:0060371	regulation of atrial cardiac muscle cell membrane depolarization
8	8	2.25082	0.00000	<0.00050	GO:1902710	GABA receptor complex
7	7	2.19619	0.00000	<0.00050	GO:0003708	retinoic acid receptor activity
7	7	2.19619	0.00000	<0.00050	GO:1902711	GABA-A receptor complex
6	6	2.13377	0.00000	0.00050	GO:0004972	NMDA glutamate receptor activity
6	6	2.13377	0.00000	0.00050	GO:0060372	regulation of atrial cardiac muscle cell membrane repolarization
6	6	2.13377	0.00000	0.00050	GO:0072578	neurotransmitter-gated ion channel clustering
6	6	2.13377	0.00000	0.00050	GO:1990239	steroid hormone binding
6	6	2.13377	0.00000	0.00050	GO:1990454	L-type voltage-gated calcium channel complex
5	5	2.06095	0.00001	0.01800	GO:0004952	dopamine neurotransmitter receptor activity
5	5	2.06095	0.00001	0.01800	GO:0007210	serotonin receptor signaling pathway
5	5	2.06095	0.00001	0.01800	GO:0022849	glutamate-gated calcium ion channel activity
5	5	2.06095	0.00001	0.01800	GO:0022851	GABA-gated chloride ion channel activity
5	5	2.06095	0.00001	0.01800	GO:0030284	estrogen receptor activity
5	5	2.06095	0.00001	0.01800	GO:0044300	cerebellar mossy fiber
5	5	2.06095	0.00001	0.01800	GO:0045542	positive regulation of cholesterol biosynthetic process
5	5	2.06095	0.00001	0.01800	GO:0045852	pH elevation
5	5	2.06095	0.00001	0.01800	GO:0051454	intracellular pH elevation
5	5	2.06095	0.00001	0.01800	GO:0086006	voltage-gated sodium channel activity involved in cardiac muscle cell action potential
5	5	2.06095	0.00001	0.01800	GO:0097109	neuroligin family protein binding
11	12	1.90578	0.00000	<0.00050	GO:0006069	ethanol oxidation
9	10	1.82225	0.00000	<0.00050	GO:0017146	NMDA selective glutamate receptor complex
8	9	1.77368	0.00000	<0.00050	GO:0032052	bile acid binding
7	8	1.71905	0.00000	0.00050	GO:0004890	GABA-A receptor activity
7	8	1.71905	0.00000	0.00050	GO:0016725	oxidoreductase activity, acting on CH or CH2 groups
7	8	1.71905	0.00000	0.00050	GO:0052650	NADP-retinol dehydrogenase activity
11	13	1.68390	0.00000	<0.00050	GO:0004089	carbonate dehydratase activity
6	7	1.65663	0.00000	0.00600	GO:0004030	aldehyde dehydrogenase [NAD(P)+] activity
6	7	1.65663	0.00000	0.00600	GO:0035240	dopamine binding
6	7	1.65663	0.00000	0.00600	GO:0042166	acetylcholine binding
6	7	1.65663	0.00000	0.00600	GO:0060558	regulation of calcidiol 1-monooxygenase activity
6	7	1.65663	0.00000	0.00600	GO:1903795	regulation of inorganic anion transmembrane transport
13	16	1.60793	0.00000	<0.00050	GO:0005248	voltage-gated sodium channel activity
9	11	1.60038	0.00000	<0.00050	GO:0034776	response to histamine
9	11	1.60038	0.00000	<0.00050	GO:1901338	catecholamine binding
12	15	1.57423	0.00000	<0.00050	GO:0008106	alcohol dehydrogenase (NADP+) activity
8	10	1.55180	0.00000	0.00050	GO:0016917	GABA receptor activity
8	10	1.55180	0.00000	0.00050	GO:2001225	regulation of chloride transport
11	14	1.53775	0.00000	<0.00050	GO:0045730	respiratory burst
14	18	1.53007	0.00000	<0.00050	GO:0034706	sodium channel complex
13	17	1.49876	0.00000	<0.00050	GO:0086012	membrane depolarization during cardiac muscle cell action potential
7	9	1.49717	0.00000	0.00200	GO:0010359	regulation of anion channel activity
7	9	1.49717	0.00000	0.00200	GO:0016175	superoxide-generating NADPH oxidase activity
7	9	1.49717	0.00000	0.00200	GO:0071435	potassium ion export
14	19	1.44289	0.00000	<0.00050	GO:0086010	membrane depolarization during action potential
6	8	1.43475	0.00001	0.03800	GO:0004022	alcohol dehydrogenase (NAD) activity
6	8	1.43475	0.00001	0.03800	GO:0005641	nuclear envelope lumen
6	8	1.43475	0.00001	0.03800	GO:0006776	vitamin A metabolic process
6	8	1.43475	0.00001	0.03800	GO:0043176	amine binding
6	8	1.43475	0.00001	0.03800	GO:0050665	hydrogen peroxide biosynthetic process
6	8	1.43475	0.00001	0.03800	GO:0051378	serotonin binding
6	8	1.43475	0.00001	0.03800	GO:0060020	Bergmann glial cell differentiation
6	8	1.43475	0.00001	0.03800	GO:0071420	cellular response to histamine
8	11	1.40565	0.00000	0.00050	GO:0019371	cyclooxygenase pathway
10	14	1.38879	0.00000	<0.00050	GO:0006702	androgen biosynthetic process
10	14	1.38879	0.00000	<0.00050	GO:0086064	cell communication by electrical coupling involved in cardiac conduction
18	26	1.36066	0.00000	<0.00050	GO:0001975	response to amphetamine
7	10	1.35102	0.00000	0.00850	GO:0015271	outward rectifier potassium channel activity
7	10	1.35102	0.00000	0.00850	GO:0043020	NADPH oxidase complex
9	13	1.34506	0.00000	0.00050	GO:0010745	negative regulation of macrophage derived foam cell differentiation
9	13	1.34506	0.00000	0.00050	GO:0060134	prepulse inhibition
15	22	1.33738	0.00000	<0.00050	GO:0007214	gamma-aminobutyric acid signaling pathway
