# of genes	# of total genes	Log of odds ratio	P-value	Adjusted p-value	GO term ID	Go term name
5	5	2.82881	0.00000	<0.00050	GO:0007210	serotonin receptor signaling pathway
4	4	2.74018	0.00000	0.00050	GO:0033695	oxidoreductase activity, acting on CH or CH2 groups, quinone or similar compound as acceptor
4	4	2.74018	0.00000	0.00050	GO:0034875	caffeine oxidase activity
3	3	2.62956	0.00000	0.01700	GO:0004936	alpha-adrenergic receptor activity
3	3	2.62956	0.00000	0.01700	GO:0005415	nucleoside:sodium symporter activity
9	10	2.59501	0.00000	<0.00050	GO:0004993	serotonin receptor activity
7	8	2.48934	0.00000	<0.00050	GO:0043176	amine binding
7	8	2.48934	0.00000	<0.00050	GO:0051378	serotonin binding
11	13	2.45913	0.00000	<0.00050	GO:0004089	carbonate dehydratase activity
5	6	2.35167	0.00000	<0.00050	GO:0004935	adrenergic receptor activity
5	6	2.35167	0.00000	<0.00050	GO:0016098	monoterpenoid metabolic process
4	5	2.26303	0.00000	0.00150	GO:0004952	dopamine neurotransmitter receptor activity
17	23	2.23559	0.00000	<0.00050	GO:0008227	G-protein coupled amine receptor activity
6	9	2.05768	0.00000	<0.00050	GO:0004716	receptor signaling protein tyrosine kinase activity
6	9	2.05768	0.00000	<0.00050	GO:0097267	omega-hydroxylase P450 pathway
4	6	2.04116	0.00000	0.00150	GO:0007196	adenylate cyclase-inhibiting G-protein coupled glutamate receptor signaling pathway
4	6	2.04116	0.00000	0.00150	GO:0030235	nitric-oxide synthase regulator activity
7	11	2.01215	0.00000	<0.00050	GO:0019373	epoxygenase P450 pathway
5	8	1.98364	0.00000	0.00050	GO:0016725	oxidoreductase activity, acting on CH or CH2 groups
4	7	1.89501	0.00000	0.00700	GO:0009804	coumarin metabolic process
4	7	1.89501	0.00000	0.00700	GO:0009820	alkaloid metabolic process
4	7	1.89501	0.00000	0.00700	GO:0042166	acetylcholine binding
4	7	1.89501	0.00000	0.00700	GO:0071073	positive regulation of phospholipid biosynthetic process
5	9	1.87447	0.00000	0.00150	GO:0051967	negative regulation of synaptic transmission, glutamatergic
6	11	1.86133	0.00000	<0.00050	GO:0019371	cyclooxygenase pathway
6	11	1.86133	0.00000	<0.00050	GO:0043560	insulin receptor substrate binding
6	11	1.86133	0.00000	<0.00050	GO:1901338	catecholamine binding
6	12	1.78876	0.00000	<0.00050	GO:0042738	exogenous drug catabolic process
5	10	1.78730	0.00000	0.00150	GO:0071875	adrenergic receptor signaling pathway
5	10	1.78730	0.00000	0.00150	GO:2001225	regulation of chloride transport
4	8	1.78584	0.00000	0.01800	GO:0004985	opioid receptor activity
4	8	1.78584	0.00000	0.01800	GO:0005641	nuclear envelope lumen
4	8	1.78584	0.00000	0.01800	GO:0007191	adenylate cyclase-activating dopamine receptor signaling pathway
4	8	1.78584	0.00000	0.01800	GO:0009698	phenylpropanoid metabolic process
4	8	1.78584	0.00000	0.01800	GO:0038003	opioid receptor signaling pathway
7	15	1.73585	0.00000	<0.00050	GO:0042737	drug catabolic process
6	14	1.67221	0.00000	0.00050	GO:0007216	G-protein coupled glutamate receptor signaling pathway
6	14	1.67221	0.00000	0.00050	GO:0038083	peptidyl-tyrosine autophosphorylation
5	12	1.65255	0.00000	0.00150	GO:0070989	oxidative demethylation
5	12	1.65255	0.00000	0.00150	GO:0071071	regulation of phospholipid biosynthetic process
10	26	1.59822	0.00000	<0.00050	GO:0008066	glutamate receptor activity
6	16	1.58039	0.00000	0.00150	GO:0004697	protein kinase C activity
6	16	1.58039	0.00000	0.00150	GO:0032094	response to food
10	27	1.57265	0.00000	<0.00050	GO:0016712	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen
15	41	1.56898	0.00000	<0.00050	GO:0019369	arachidonic acid metabolic process
5	14	1.54984	0.00000	0.00400	GO:0006198	cAMP catabolic process
12	34	1.54213	0.00000	<0.00050	GO:0017144	drug metabolic process
6	17	1.54085	0.00000	0.00150	GO:1904355	positive regulation of telomere capping
16	46	1.53652	0.00000	<0.00050	GO:0070405	ammonium ion binding
8	23	1.53062	0.00000	<0.00050	GO:0070330	aromatase activity
5	15	1.50635	0.00000	0.01000	GO:0004115	3',5'-cyclic-AMP phosphodiesterase activity
5	15	1.50635	0.00000	0.01000	GO:0048148	behavioral response to cocaine
8	25	1.47786	0.00000	<0.00050	GO:0045907	positive regulation of vasoconstriction
7	22	1.47476	0.00000	<0.00050	GO:0050995	negative regulation of lipid catabolic process
6	19	1.47117	0.00000	0.00150	GO:0015844	monoamine transport
5	16	1.46682	0.00000	0.01150	GO:0007213	G-protein coupled acetylcholine receptor signaling pathway
5	16	1.46682	0.00000	0.01150	GO:0032225	regulation of synaptic transmission, dopaminergic
8	26	1.45371	0.00000	<0.00050	GO:0014065	phosphatidylinositol 3-kinase signaling
8	26	1.45371	0.00000	<0.00050	GO:0042310	vasoconstriction
11	36	1.44997	0.00000	<0.00050	GO:0015701	bicarbonate transport
10	33	1.44447	0.00000	<0.00050	GO:0006730	one-carbon metabolic process
5	17	1.43058	0.00001	0.02050	GO:0009214	cyclic nucleotide catabolic process
5	17	1.43058	0.00001	0.02050	GO:0071498	cellular response to fluid shear stress
12	41	1.42432	0.00000	<0.00050	GO:0007215	glutamate receptor signaling pathway
9	32	1.39950	0.00000	<0.00050	GO:0032228	regulation of synaptic transmission, GABAergic
9	32	1.39950	0.00000	<0.00050	GO:0042220	response to cocaine
21	76	1.39866	0.00000	<0.00050	GO:0008144	drug binding
5	18	1.39713	0.00001	0.02600	GO:0051953	negative regulation of amine transport
7	26	1.37496	0.00000	0.00150	GO:0015893	drug transport
11	41	1.37209	0.00000	<0.00050	GO:1903727	positive regulation of phospholipid metabolic process
5	19	1.36607	0.00001	0.03150	GO:0006855	drug transmembrane transport
6	23	1.35837	0.00000	0.00300	GO:0014059	regulation of dopamine secretion
6	23	1.35837	0.00000	0.00300	GO:1904353	regulation of telomere capping
7	27	1.35322	0.00000	0.00150	GO:0016572	histone phosphorylation
7	27	1.35322	0.00000	0.00150	GO:1904645	response to beta-amyloid
11	43	1.34446	0.00000	<0.00050	GO:0019748	secondary metabolic process
13	51	1.34341	0.00000	<0.00050	GO:0007200	phospholipase C-activating G-protein coupled receptor signaling pathway
5	20	1.33709	0.00001	0.04600	GO:0032098	regulation of appetite
5	20	1.33709	0.00001	0.04600	GO:0045932	negative regulation of muscle contraction
6	24	1.33421	0.00000	0.00300	GO:0030815	negative regulation of cAMP metabolic process
6	24	1.33421	0.00000	0.00300	GO:0035235	ionotropic glutamate receptor signaling pathway
6	24	1.33421	0.00000	0.00300	GO:0048169	regulation of long-term neuronal synaptic plasticity
6	24	1.33421	0.00000	0.00300	GO:1903409	reactive oxygen species biosynthetic process
7	28	1.33251	0.00000	0.00150	GO:0001659	temperature homeostasis
7	28	1.33251	0.00000	0.00150	GO:0035265	organ growth
11	45	1.31847	0.00000	<0.00050	GO:0016836	hydro-lyase activity
16	66	1.31705	0.00000	<0.00050	GO:0007193	adenylate cyclase-inhibiting G-protein coupled receptor signaling pathway
15	62	1.31502	0.00000	<0.00050	GO:0050805	negative regulation of synaptic transmission
8	33	1.31417	0.00000	<0.00050	GO:0010863	positive regulation of phospholipase C activity
21	88	1.31336	0.00000	<0.00050	GO:0006690	icosanoid metabolic process
21	88	1.31336	0.00000	<0.00050	GO:1901568	fatty acid derivative metabolic process
6	25	1.31132	0.00000	0.00800	GO:0006692	prostanoid metabolic process
6	25	1.31132	0.00000	0.00800	GO:0006693	prostaglandin metabolic process
13	54	1.31075	0.00000	<0.00050	GO:0003707	steroid hormone receptor activity
11	46	1.30604	0.00000	<0.00050	GO:0006939	smooth muscle contraction
7	30	1.29383	0.00000	0.00150	GO:0014072	response to isoquinoline alkaloid
7	30	1.29383	0.00000	0.00150	GO:0043278	response to morphine
35	158	1.28999	0.00000	<0.00050	GO:0007187	G-protein coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger
6	26	1.28958	0.00000	0.01000	GO:0009154	purine ribonucleotide catabolic process
6	26	1.28958	0.00000	0.01000	GO:0030800	negative regulation of cyclic nucleotide metabolic process
6	26	1.28958	0.00000	0.01000	GO:0033764	steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor
8	35	1.28133	0.00000	0.00050	GO:1900274	regulation of phospholipase C activity
7	31	1.27571	0.00000	0.00150	GO:0042596	fear response
7	31	1.27571	0.00000	0.00150	GO:0071276	cellular response to cadmium ion
11	49	1.27073	0.00000	<0.00050	GO:0004879	RNA polymerase II transcription factor activity, ligand-activated sequence-specific DNA binding
11	49	1.27073	0.00000	<0.00050	GO:0098531	transcription factor activity, direct ligand regulated sequence-specific DNA binding
6	27	1.26887	0.00000	0.01000	GO:0009261	ribonucleotide catabolic process
8	36	1.26579	0.00000	0.00150	GO:0046456	icosanoid biosynthetic process
8	36	1.26579	0.00000	0.00150	GO:1901570	fatty acid derivative biosynthetic process
10	45	1.26502	0.00000	<0.00050	GO:0019825	oxygen binding
10	45	1.26502	0.00000	<0.00050	GO:0051966	regulation of synaptic transmission, glutamatergic
29	136	1.26041	0.00000	<0.00050	GO:0007188	adenylate cyclase-modulating G-protein coupled receptor signaling pathway
7	32	1.25831	0.00000	0.00150	GO:0007190	activation of adenylate cyclase activity
7	32	1.25831	0.00000	0.00150	GO:0090218	positive regulation of lipid kinase activity
13	60	1.25196	0.00000	<0.00050	GO:0016835	carbon-oxygen lyase activity
6	28	1.24910	0.00000	0.01950	GO:0016229	steroid dehydrogenase activity
6	28	1.24910	0.00000	0.01950	GO:0050853	B cell receptor signaling pathway
12	56	1.24542	0.00000	<0.00050	GO:0050994	regulation of lipid catabolic process
13	61	1.24289	0.00000	<0.00050	GO:0004714	transmembrane receptor protein tyrosine kinase activity
7	33	1.24158	0.00000	0.00150	GO:0010907	positive regulation of glucose metabolic process
7	33	1.24158	0.00000	0.00150	GO:0034405	response to fluid shear stress
7	33	1.24158	0.00000	0.00150	GO:0045776	negative regulation of blood pressure
21	101	1.23655	0.00000	<0.00050	GO:0033559	unsaturated fatty acid metabolic process
6	29	1.23019	0.00001	0.02150	GO:0001662	behavioral fear response
6	29	1.23019	0.00001	0.02150	GO:0002209	behavioral defense response
6	29	1.23019	0.00001	0.02150	GO:0006691	leukotriene metabolic process
6	29	1.23019	0.00001	0.02150	GO:0043552	positive regulation of phosphatidylinositol 3-kinase activity
6	29	1.23019	0.00001	0.02150	GO:0045744	negative regulation of G-protein coupled receptor protein signaling pathway
11	53	1.22771	0.00000	<0.00050	GO:0048015	phosphatidylinositol-mediated signaling
7	34	1.22547	0.00000	0.00200	GO:0032212	positive regulation of telomere maintenance via telomerase
7	34	1.22547	0.00000	0.00200	GO:0051930	regulation of sensory perception of pain
7	34	1.22547	0.00000	0.00200	GO:0051931	regulation of sensory perception
7	34	1.22547	0.00000	0.00200	GO:0051973	positive regulation of telomerase activity
7	34	1.22547	0.00000	0.00200	GO:0071868	cellular response to monoamine stimulus
7	34	1.22547	0.00000	0.00200	GO:0071870	cellular response to catecholamine stimulus
8	39	1.22225	0.00000	0.00150	GO:0045429	positive regulation of nitric oxide biosynthetic process
8	39	1.22225	0.00000	0.00150	GO:1904407	positive regulation of nitric oxide metabolic process
9	44	1.22004	0.00000	<0.00050	GO:0051972	regulation of telomerase activity
10	49	1.21855	0.00000	<0.00050	GO:0019229	regulation of vasoconstriction
11	54	1.21759	0.00000	<0.00050	GO:0018107	peptidyl-threonine phosphorylation
8	40	1.20866	0.00000	0.00150	GO:0050433	regulation of catecholamine secretion
16	81	1.20373	0.00000	<0.00050	GO:0005496	steroid binding
13	66	1.20016	0.00000	<0.00050	GO:1903725	regulation of phospholipid metabolic process
11	56	1.19801	0.00000	<0.00050	GO:0048017	inositol lipid-mediated signaling
8	41	1.19547	0.00000	0.00150	GO:0004712	protein serine/threonine/tyrosine kinase activity
8	41	1.19547	0.00000	0.00150	GO:0050999	regulation of nitric-oxide synthase activity
7	36	1.19493	0.00000	0.00300	GO:1904358	positive regulation of telomere maintenance via telomere lengthening
7	36	1.19493	0.00000	0.00300	GO:1904705	regulation of vascular smooth muscle cell proliferation
6	31	1.19467	0.00001	0.02850	GO:0005504	fatty acid binding
6	31	1.19467	0.00001	0.02850	GO:0032148	activation of protein kinase B activity
10	52	1.18669	0.00000	<0.00050	GO:2000573	positive regulation of DNA biosynthetic process
8	42	1.18267	0.00000	0.00150	GO:0006195	purine nucleotide catabolic process
7	37	1.18043	0.00000	0.00300	GO:0032589	neuron projection membrane
7	37	1.18043	0.00000	0.00300	GO:0071867	response to monoamine
7	37	1.18043	0.00000	0.00300	GO:0071869	response to catecholamine
10	53	1.17656	0.00000	<0.00050	GO:0006940	regulation of smooth muscle contraction
10	53	1.17656	0.00000	<0.00050	GO:0033555	multicellular organismal response to stress
11	59	1.17021	0.00000	<0.00050	GO:1903524	positive regulation of blood circulation
7	38	1.16640	0.00000	0.00500	GO:0045762	positive regulation of adenylate cyclase activity
16	87	1.16552	0.00000	<0.00050	GO:0060359	response to ammonium ion
19	106	1.15463	0.00000	<0.00050	GO:0018105	peptidyl-serine phosphorylation
16	89	1.15349	0.00000	<0.00050	GO:0004497	monooxygenase activity
11	61	1.15261	0.00000	<0.00050	GO:0018210	peptidyl-threonine modification
19	107	1.14967	0.00000	<0.00050	GO:0030168	platelet activation
12	67	1.14922	0.00000	<0.00050	GO:0030817	regulation of cAMP biosynthetic process
8	45	1.14639	0.00000	0.00150	GO:0015370	solute:sodium symporter activity
18	102	1.14544	0.00000	<0.00050	GO:0006805	xenobiotic metabolic process
16	91	1.14178	0.00000	<0.00050	GO:0030814	regulation of cAMP metabolic process
12	68	1.14144	0.00000	<0.00050	GO:0046934	phosphatidylinositol-4,5-bisphosphate 3-kinase activity
20	115	1.13972	0.00000	<0.00050	GO:0044070	regulation of anion transport
7	40	1.13961	0.00000	0.01000	GO:0033628	regulation of cell adhesion mediated by integrin
13	74	1.13944	0.00000	<0.00050	GO:0048661	positive regulation of smooth muscle cell proliferation
10	57	1.13826	0.00000	<0.00050	GO:0045761	regulation of adenylate cyclase activity
15	86	1.13683	0.00000	<0.00050	GO:2000379	positive regulation of reactive oxygen species metabolic process
11	63	1.13570	0.00000	<0.00050	GO:0010676	positive regulation of cellular carbohydrate metabolic process
8	46	1.13493	0.00000	0.00150	GO:0030819	positive regulation of cAMP biosynthetic process
15	87	1.13077	0.00000	<0.00050	GO:0001676	long-chain fatty acid metabolic process
13	76	1.12549	0.00000	<0.00050	GO:0019199	transmembrane receptor protein kinase activity
8	47	1.12377	0.00000	0.00150	GO:0006636	unsaturated fatty acid biosynthetic process
8	47	1.12377	0.00000	0.00150	GO:0072523	purine-containing compound catabolic process
8	47	1.12377	0.00000	0.00150	GO:1900543	negative regulation of purine nucleotide metabolic process
8	47	1.12377	0.00000	0.00150	GO:1903428	positive regulation of reactive oxygen species biosynthetic process
12	71	1.11890	0.00000	<0.00050	GO:0052813	phosphatidylinositol bisphosphate kinase activity
7	42	1.11438	0.00000	0.01850	GO:0007270	neuron-neuron synaptic transmission
8	48	1.11289	0.00000	0.00150	GO:0010518	positive regulation of phospholipase activity
9	54	1.11202	0.00000	0.00150	GO:0043401	steroid hormone mediated signaling pathway
9	54	1.11202	0.00000	0.00150	GO:0050880	regulation of blood vessel size
19	115	1.11189	0.00000	<0.00050	GO:0043279	response to alkaloid
11	66	1.11149	0.00000	<0.00050	GO:0051952	regulation of amine transport
14	85	1.10633	0.00000	<0.00050	GO:0030802	regulation of cyclic nucleotide biosynthetic process
20	123	1.10459	0.00000	<0.00050	GO:0018209	peptidyl-serine modification
9	55	1.10255	0.00000	0.00150	GO:0035150	regulation of tube size
8	49	1.10227	0.00000	0.00250	GO:0045980	negative regulation of nucleotide metabolic process
8	50	1.09191	0.00000	0.00300	GO:0031623	receptor internalization
26	167	1.08883	0.00000	<0.00050	GO:0046777	protein autophosphorylation
18	114	1.08747	0.00000	<0.00050	GO:0030799	regulation of cyclic nucleotide metabolic process
10	63	1.08646	0.00000	0.00050	GO:0014068	positive regulation of phosphatidylinositol 3-kinase signaling
15	95	1.08512	0.00000	<0.00050	GO:0030808	regulation of nucleotide biosynthetic process
